image_path,mask_path,fruit,category
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Defect\Guava_Defect_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Defect\Guava_Defect_045_mask.png,Guava,Defect
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Ripe\Mango_Ripe_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Ripe\Mango_Ripe_031_mask.png,Mango,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Overripe\Orange_Overripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Overripe\Orange_Overripe_013_mask.png,Orange,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_091.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Rotten\Apple_Rotten_091_mask.png,Apple,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_A\Guava_Class_A_011.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_A\Guava_Class_A_011_mask.png,Guava,Class_A
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Unripe\Grape_Unripe_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Unripe\Grape_Unripe_046_mask.png,Grape,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_034.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_034_mask.png,Banana,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Unripe\Orange_Unripe_034.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Unripe\Orange_Unripe_034_mask.png,Orange,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_077_mask.png,Banana,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Ripe\Banana_Ripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Ripe\Banana_Ripe_001_mask.png,Banana,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Ripe\Grape_Ripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Ripe\Grape_Ripe_054_mask.png,Grape,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Melon\Rotten\Melon_Rotten_005.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Melon\Rotten\Melon_Rotten_005_mask.png,Melon,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Overripe\Peach_Overripe_032.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Overripe\Peach_Overripe_032_mask.png,Peach,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Ripe\Orange_Ripe_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Ripe\Orange_Ripe_046_mask.png,Orange,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Rotten\Orange_Rotten_078.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Rotten\Orange_Rotten_078_mask.png,Orange,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_074.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_074_mask.png,Banana,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Overripe\Grape_Overripe_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Overripe\Grape_Overripe_077_mask.png,Grape,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_074.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_074_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_A\Guava_Class_A_091.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_A\Guava_Class_A_091_mask.png,Guava,Class_A
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Ripe\Peach_Ripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Ripe\Peach_Ripe_013_mask.png,Peach,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Ripe\Pear_Ripe_026.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Ripe\Pear_Ripe_026_mask.png,Pear,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Rotten\Peach_Rotten_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Rotten\Peach_Rotten_077_mask.png,Peach,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Rotten\Pear_Rotten_081.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Rotten\Pear_Rotten_081_mask.png,Pear,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Rotten\Mango_Rotten_074.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Rotten\Mango_Rotten_074_mask.png,Mango,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_077_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Unripe\Banana_Unripe_011.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Unripe\Banana_Unripe_011_mask.png,Banana,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Rotten\Mango_Rotten_023.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Rotten\Mango_Rotten_023_mask.png,Mango,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Overripe\Banana_Overripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Overripe\Banana_Overripe_019_mask.png,Banana,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Overripe\Peach_Overripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Overripe\Peach_Overripe_054_mask.png,Peach,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_019_mask.png,Apple,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_046.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_046_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Overripe\Pear_Overripe_034.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Overripe\Pear_Overripe_034_mask.png,Pear,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Unripe\Orange_Unripe_040.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Unripe\Orange_Unripe_040_mask.png,Orange,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Overripe\Grape_Overripe_091.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Overripe\Grape_Overripe_091_mask.png,Grape,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_A\Guava_Class_A_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_A\Guava_Class_A_077_mask.png,Guava,Class_A
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Rotten\Pear_Rotten_011.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Rotten\Pear_Rotten_011_mask.png,Pear,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Ripe\Apple_Ripe_031_mask.png,Apple,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Unripe\Mango_Unripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Unripe\Mango_Unripe_001_mask.png,Mango,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Ripe\Orange_Ripe_040.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Ripe\Orange_Ripe_040_mask.png,Orange,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_078.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_078_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Rotten\Pear_Rotten_023.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Rotten\Pear_Rotten_023_mask.png,Pear,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Overripe\Peach_Overripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Overripe\Peach_Overripe_001_mask.png,Peach,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Rotten\Grape_Rotten_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Rotten\Grape_Rotten_031_mask.png,Grape,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_005.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Rotten\Apple_Rotten_005_mask.png,Apple,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_005.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_005_mask.png,Banana,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Rotten\Pear_Rotten_074.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Rotten\Pear_Rotten_074_mask.png,Pear,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Rotten\Mango_Rotten_084.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Rotten\Mango_Rotten_084_mask.png,Mango,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_071.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_071_mask.png,Apple,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Unripe\Grape_Unripe_081.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Unripe\Grape_Unripe_081_mask.png,Grape,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Overripe\Banana_Overripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Overripe\Banana_Overripe_054_mask.png,Banana,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Overripe\Orange_Overripe_034.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Overripe\Orange_Overripe_034_mask.png,Orange,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Unripe\Pear_Unripe_005.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Unripe\Pear_Unripe_005_mask.png,Pear,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Rotten\Orange_Rotten_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Rotten\Orange_Rotten_031_mask.png,Orange,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Unripe\Peach_Unripe_040.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Unripe\Peach_Unripe_040_mask.png,Peach,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_084.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_084_mask.png,Banana,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Overripe\Mango_Overripe_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Overripe\Mango_Overripe_031_mask.png,Mango,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Rotten\Grape_Rotten_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Rotten\Grape_Rotten_045_mask.png,Grape,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_A\Guava_Class_A_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_A\Guava_Class_A_045_mask.png,Guava,Class_A
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Unripe\Pear_Unripe_081.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Unripe\Pear_Unripe_081_mask.png,Pear,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_B\Guava_Class_B_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_B\Guava_Class_B_031_mask.png,Guava,Class_B
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Banana\Rotten\Banana_Rotten_031.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Banana\Rotten\Banana_Rotten_031_mask.png,Banana,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Unripe\Pear_Unripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Unripe\Pear_Unripe_054_mask.png,Pear,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_084.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_084_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Mango\Overripe\Mango_Overripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Mango\Overripe\Mango_Overripe_019_mask.png,Mango,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Ripe\Apple_Ripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Ripe\Apple_Ripe_019_mask.png,Apple,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_001_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Peach\Unripe\Peach_Unripe_054.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Peach\Unripe\Peach_Unripe_054_mask.png,Peach,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Melon\Overripe\Melon_Overripe_013.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Melon\Overripe\Melon_Overripe_013_mask.png,Melon,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Rotten\Apple_Rotten_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Rotten\Apple_Rotten_045_mask.png,Apple,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Overripe\Pear_Overripe_011.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Overripe\Pear_Overripe_011_mask.png,Pear,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Unripe\Apple_Unripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Unripe\Apple_Unripe_019_mask.png,Apple,Unripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Rotten\Orange_Rotten_077.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Rotten\Orange_Rotten_077_mask.png,Orange,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Pear\Ripe\Pear_Ripe_056.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Pear\Ripe\Pear_Ripe_056_mask.png,Pear,Ripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Guava\Class_A\Guava_Class_A_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Guava\Class_A\Guava_Class_A_001_mask.png,Guava,Class_A
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Rotten\Grape_Rotten_001.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Rotten\Grape_Rotten_001_mask.png,Grape,Rotten
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Overripe\Grape_Overripe_040.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Overripe\Grape_Overripe_040_mask.png,Grape,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Orange\Overripe\Orange_Overripe_019.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Orange\Overripe\Orange_Overripe_019_mask.png,Orange,Overripe
C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Grape\Overripe\Grape_Overripe_045.jpg,C:\Users\user\code\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Grape\Overripe\Grape_Overripe_045_mask.png,Grape,Overripe
