fruit,category,image,method,IoU,Dice,Precision,Recall,Damage_Percentage
Mango,Ripe,Mango_Ripe_064,Original Otsu,0.0,0.0,0.0,0.0,49.81185556828507
Mango,Ripe,Mango_Ripe_064,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,48.82175166910283
Mango,Ripe,Mango_Ripe_064,FABR_A,0.0,0.0,0.0,0.0,10.6536167186821
Mango,Ripe,Mango_Ripe_064,FABR_B,0.0,0.0,0.0,0.0,14.17058428475487
Mango,Ripe,Mango_Ripe_064,FABR_C,0.0,0.0,0.0,0.0,17.45101331331727
Mango,Ripe,Mango_Ripe_064,FABR_D,0.0,0.0,0.0,0.0,20.74329395962549
Mango,Ripe,Mango_Ripe_064,FABR_E,0.0,0.0,0.0,0.0,17.696440564137006
Mango,Rotten,Mango_Rotten_084,Original Otsu,0.17265466465476872,0.29446804734384185,0.18878632284125335,0.668934583207338,52.27441708303593
Mango,Rotten,Mango_Rotten_084,Otsu + Morphology 7x7,0.17163953595312234,0.29299034504412574,0.18841854763106655,0.6584013708295535,51.55171901023079
Mango,Rotten,Mango_Rotten_084,FABR_A,0.2723481202788229,0.42810315186246417,0.39263339360047095,0.4706178812619696,17.68305377111587
Mango,Rotten,Mango_Rotten_084,FABR_B,0.2737279275092937,0.4298059602800009,0.39246304393087655,0.47500251990726744,17.855549607423267
Mango,Rotten,Mango_Rotten_084,FABR_C,0.28527226013205514,0.4439094641360187,0.3870169783741239,0.5204112488660417,19.837764691886747
Mango,Rotten,Mango_Rotten_084,FABR_D,0.28508578970523535,0.4436836699760356,0.38551349743437197,0.5225279709706683,19.9961337140138
Mango,Rotten,Mango_Rotten_084,FABR_E,0.2746751371643084,0.43097276969779347,0.391440329218107,0.47938715855256525,18.06745182012848
Melon,Overripe,Melon_Overripe_014,Original Otsu,0.0,0.0,0.0,0.0,82.75278580272389
Melon,Overripe,Melon_Overripe_014,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,82.485211170725
Melon,Overripe,Melon_Overripe_014,FABR_A,0.0,0.0,0.0,0.0,11.682487274728299
Melon,Overripe,Melon_Overripe_014,FABR_B,0.0,0.0,0.0,0.0,11.379144311459623
Melon,Overripe,Melon_Overripe_014,FABR_C,0.0,0.0,0.0,0.0,15.2785802723896
Melon,Overripe,Melon_Overripe_014,FABR_D,0.0,0.0,0.0,0.0,15.146512587701197
Melon,Overripe,Melon_Overripe_014,FABR_E,0.0,0.0,0.0,0.0,11.256018709588664
Melon,Ripe,Melon_Ripe_084,Original Otsu,0.0,0.0,0.0,0.0,35.8755110672494
Melon,Ripe,Melon_Ripe_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,34.44663752995911
Melon,Ripe,Melon_Ripe_084,FABR_A,0.0,0.0,0.0,0.0,7.442548991963909
Melon,Ripe,Melon_Ripe_084,FABR_B,0.0,0.0,0.0,0.0,8.690258000845905
Melon,Ripe,Melon_Ripe_084,FABR_C,0.0,0.0,0.0,0.0,11.21246299168194
Melon,Ripe,Melon_Ripe_084,FABR_D,0.0,0.0,0.0,0.0,12.49330325673199
Melon,Ripe,Melon_Ripe_084,FABR_E,0.0,0.0,0.0,0.0,9.94360637247991
Melon,Rotten,Melon_Rotten_010,Original Otsu,0.26367244581459587,0.41731137952386993,0.2702091686391962,0.915962533569136,69.65155715862291
Melon,Rotten,Melon_Rotten_010,Otsu + Morphology 7x7,0.2656838827873599,0.41982660346793066,0.27226124005369545,0.916650291478352,69.17848779306075
Melon,Rotten,Melon_Rotten_010,FABR_A,0.10510293107608917,0.19021383098449599,0.1952481120038622,0.18543263247527347,19.514279561788378
Melon,Rotten,Melon_Rotten_010,FABR_B,0.1034860270815327,0.18756200720589003,0.20015602362643486,0.1764590292788367,18.114586417593063
Melon,Rotten,Melon_Rotten_010,FABR_C,0.12566059894304168,0.22326551904016692,0.21002193742062117,0.23829174035501408,23.312966003606903
Melon,Rotten,Melon_Rotten_010,FABR_D,0.11774133233612907,0.21067724513693065,0.20511865984178687,0.21654549027313813,21.691879088046083
Melon,Rotten,Melon_Rotten_010,FABR_E,0.10019230014520623,0.18213597774131413,0.1999686692253466,0.1672234230693653,17.18257920378994
Orange,Overripe,Orange_Overripe_084,Original Otsu,0.4811182385269222,0.6496689136789358,0.5947398313600419,0.7157767436969267,58.620601342006864
Orange,Overripe,Orange_Overripe_084,Otsu + Morphology 7x7,0.48111233284857946,0.6496635294681131,0.5965213184686765,0.7132003049662171,58.23515853096348
Orange,Overripe,Orange_Overripe_084,FABR_A,0.3151807791904363,0.47929651068113516,0.5485226348603958,0.42558561400741385,37.791323054858374
Orange,Overripe,Orange_Overripe_084,FABR_B,0.2933655907633603,0.45364681549972624,0.5380785742631408,0.3921182006993191,35.49531322030426
Orange,Overripe,Orange_Overripe_084,FABR_C,0.34176775090782663,0.5094290732156739,0.5629832320468358,0.46517864184872626,40.24611996107156
Orange,Overripe,Orange_Overripe_084,FABR_D,0.31205273802115746,0.4756710290346964,0.545185839505334,0.42187869705812764,37.691440864621214
Orange,Overripe,Orange_Overripe_084,FABR_E,0.2540942429418266,0.40522352187149496,0.5188117999425594,0.33243946683492387,31.210623367310355
Orange,Ripe,Orange_Ripe_084,Original Otsu,0.0,0.0,0.0,0.0,56.461686174103875
Orange,Ripe,Orange_Ripe_084,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0,56.14987198244331
Orange,Ripe,Orange_Ripe_084,FABR_A,0.0,0.0,0.0,0.0,1.3752743233357718
Orange,Ripe,Orange_Ripe_084,FABR_B,0.0,0.0,0.0,0.0,1.9390087783467447
Orange,Ripe,Orange_Ripe_084,FABR_C,0.0,0.0,0.0,0.0,2.9530907095830288
Orange,Ripe,Orange_Ripe_084,FABR_D,0.0,0.0,0.0,0.0,4.390544989027067
Orange,Ripe,Orange_Ripe_084,FABR_E,0.0,0.0,0.0,0.0,2.747805413313826
Orange,Rotten,Orange_Rotten_084,Original Otsu,0.7446514630594382,0.8536392268901778,0.8767101495386573,0.8317514086396566,49.080403928236805
Orange,Rotten,Orange_Rotten_084,Otsu + Morphology 7x7,0.7479158515664971,0.8557801577189297,0.8793079046068927,0.833478669170915,49.03702675504042
Orange,Rotten,Orange_Rotten_084,FABR_A,0.37344322344322345,0.5438058407787705,0.9812748829680186,0.376123557821304,19.829440954991846
Orange,Rotten,Orange_Rotten_084,FABR_B,0.3826340326340326,0.5534856275815561,0.9817164338502286,0.3853803327072713,20.308324947079846
Orange,Rotten,Orange_Rotten_084,FABR_C,0.43993503803258044,0.6110484520658304,0.9739159145938807,0.4451804400321975,23.64749973973696
Orange,Rotten,Orange_Rotten_084,FABR_D,0.4458232143451213,0.6167050161067649,0.9821899736147758,0.4494566675610411,23.67352604365479
Orange,Rotten,Orange_Rotten_084,FABR_E,0.3941058941058941,0.5653887495521318,0.9822391899742717,0.39693453179500937,20.906062393725925
Peach,Overripe,Peach_Overripe_084,Original Otsu,0.09433152158003102,0.1724002639416475,0.09637797473654826,0.8162627712572827,41.64645994917872
Peach,Overripe,Peach_Overripe_084,Otsu + Morphology 7x7,0.09437221831810728,0.17246822742474915,0.09641810095530604,0.8164316473866419,41.637740612180494
Peach,Overripe,Peach_Overripe_084,FABR_A,0.1977007039979332,0.3301337359792925,0.2097102011920802,0.775394747952377,18.18147846738968
Peach,Overripe,Peach_Overripe_084,FABR_B,0.19169015810761122,0.3217114059446673,0.20182815356489944,0.792366798952968,19.30502732058926
Peach,Overripe,Peach_Overripe_084,FABR_C,0.16929667975722956,0.2895701025891549,0.17673915879316449,0.8008106054209237,22.280397269601902
Peach,Overripe,Peach_Overripe_084,FABR_D,0.1643995603187689,0.2823765413888725,0.17107214984004432,0.8082411551127248,23.232050621979372
Peach,Overripe,Peach_Overripe_084,FABR_E,0.18508022749037464,0.31235054504675364,0.19408123949665942,0.7996284725154099,20.25958711863281
Peach,Ripe,Peach_Ripe_084,Original Otsu,0.1337128090515435,0.2358847990143231,0.1337128090515435,1.0,18.065965124788654
Peach,Ripe,Peach_Ripe_084,Otsu + Morphology 7x7,0.13690156959490865,0.2408327567771558,0.13690156959490865,1.0,17.645166174577938
Peach,Ripe,Peach_Ripe_084,FABR_A,0.1899870993351196,0.3193095109035567,0.1899870993351196,1.0,12.714815655992126
Peach,Ripe,Peach_Ripe_084,FABR_B,0.18087769852142283,0.30634450756060483,0.18087769852142283,1.0,13.355161884573649
Peach,Ripe,Peach_Ripe_084,FABR_C,0.16860413914575076,0.28855646407174346,0.16860413914575076,1.0,14.32735256264668
Peach,Ripe,Peach_Ripe_084,FABR_D,0.16219078278549645,0.2791121478295732,0.16219078278549645,1.0,14.893885482120774
Peach,Ripe,Peach_Ripe_084,FABR_E,0.17348556929908024,0.29567567567567565,0.17348556929908024,1.0,13.92421833598304
Peach,Rotten,Peach_Rotten_084,Original Otsu,0.1968533228298212,0.3289514580857482,0.20336837345992992,0.860038240917782,25.236188128979258
Peach,Rotten,Peach_Rotten_084,Otsu + Morphology 7x7,0.2007091724091791,0.33431771326684123,0.20746409718540376,0.8604206500956023,24.748978800118664
Peach,Rotten,Peach_Rotten_084,FABR_A,0.12971889882680915,0.22964809911831993,0.15705094399324965,0.42705544933078393,16.226809064147325
Peach,Rotten,Peach_Rotten_084,FABR_B,0.14257452946833357,0.24956714120815698,0.16672021591055133,0.49608030592734226,17.756326875242465
Peach,Rotten,Peach_Rotten_084,FABR_C,0.15983774902444034,0.2756208774182124,0.17933060660176278,0.5952198852772467,19.806713676091373
Peach,Rotten,Peach_Rotten_084,FABR_D,0.16951120985659462,0.28988385648288073,0.1872176677262841,0.6418738049713193,20.459368795782844
Peach,Rotten,Peach_Rotten_084,FABR_E,0.15727174685009337,0.27179743613055735,0.1782860209923664,0.5716061185468452,19.132379452773783
Pear,Overripe,Pear_Overripe_032,Original Otsu,0.2814442217263593,0.43926097906500866,0.33057912427998165,0.6544042210171479,41.43332188082851
Pear,Overripe,Pear_Overripe_032,Otsu + Morphology 7x7,0.28726297742887713,0.44631591596403036,0.33895082665368764,0.6532317162538472,40.33756257975852
Pear,Overripe,Pear_Overripe_032,FABR_A,0.3393639607896282,0.5067539081603399,0.596608958068615,0.44042210171478824,15.451065082948856
Pear,Overripe,Pear_Overripe_032,FABR_B,0.343273587643133,0.5111000332336324,0.5900249376558604,0.45079876886999853,15.991582408952587
Pear,Overripe,Pear_Overripe_032,FABR_C,0.34440759846065666,0.5123559236871356,0.53307775172676,0.49318481606331527,19.364140571316383
Pear,Overripe,Pear_Overripe_032,FABR_D,0.3458476915946235,0.513947742756607,0.5253137434955617,0.5030631686941228,20.043928536369883
Pear,Overripe,Pear_Overripe_032,FABR_E,0.34377614371890275,0.5116568638694562,0.5800089146423,0.4577165469734721,16.517375085893786
Pear,Ripe,Pear_Ripe_047,Original Otsu,0.060004058899136355,0.11321477195371,0.06071391902529176,0.8369240446611103,67.49907595638514
Pear,Ripe,Pear_Ripe_047,Otsu + Morphology 7x7,0.06077404434770779,0.11458433522490462,0.061469488843534294,0.8430570844472401,67.15794985523317
Pear,Ripe,Pear_Ripe_047,FABR_A,0.12019183713418811,0.2145915246832678,0.24144710971293748,0.1931121245478849,3.916404854309123
Pear,Ripe,Pear_Ripe_047,FABR_B,0.13473123262279887,0.23746809596733026,0.33847497089639117,0.18289039157100173,2.645844883878519
Pear,Ripe,Pear_Ripe_047,FABR_C,0.17094811559912118,0.2919823915710471,0.26980528140837556,0.3181317817266866,5.773732520174953
Pear,Ripe,Pear_Ripe_047,FABR_D,0.16045129618465248,0.27653258126762653,0.261841180604357,0.29297059286051264,5.478808599765909
Pear,Ripe,Pear_Ripe_047,FABR_E,0.13377163558298671,0.23597633136094676,0.476805356288857,0.1567856581223463,1.6101459988911475
Pear,Rotten,Pear_Rotten_084,Original Otsu,0.080065954713653,0.14826123231498411,0.11583750572114118,0.20589177862689512,40.61021493263642
Pear,Rotten,Pear_Rotten_084,Otsu + Morphology 7x7,0.07713983458357376,0.14323086401014276,0.1122823226384456,0.19773203500554665,40.23565989275898
Pear,Rotten,Pear_Rotten_084,FABR_A,0.03385848086189162,0.06549925640434846,0.056940473805925304,0.07708615801799582,30.931487405938814
Pear,Rotten,Pear_Rotten_084,FABR_B,0.031925601750547046,0.06187578192921818,0.054285342213457856,0.07193393319363983,30.275875275987925
Pear,Rotten,Pear_Rotten_084,FABR_C,0.04364241042481541,0.08363479672515557,0.07045892006888867,0.10287193393319365,33.358491416212324
Pear,Rotten,Pear_Rotten_084,FABR_D,0.041362143840694844,0.07943853938869959,0.06761904761904762,0.09626525329717738,32.527148199882845
Pear,Rotten,Pear_Rotten_084,FABR_E,0.029718910931486608,0.05772237572019105,0.051029102683051525,0.06643658326143227,29.74642905420628
